diagnosis_code_id,current_icd9_code,current_name_zh,candidate_icd10_code,official_name_zh,official_name_en,use_flag,mapping_count,batch_group,candidate_status,reason,recommended_next_action
8,7821,皮疹,R21,皮疹及其他非特定性皮膚出疹,Rash and other nonspecific skin eruption,1,1,Batch A,single_mapping_high_confidence,單一 ICD-9→ICD-10，USE=1，中文語意 contains。,可列下一批人工 review / approve 候選。
13,2149,脂肪瘤,D17.9,良性脂肪瘤,"Benign lipomatous neoplasm, unspecified",1,1,Batch A,single_mapping_high_confidence,單一 ICD-9→ICD-10，USE=1，中文語意 contains。,可列下一批人工 review / approve 候選。
18,1104,足癬,B35.3,足癬,Tinea pedis,1,1,Batch A,single_mapping_high_confidence,單一 ICD-9→ICD-10，USE=1，中文語意 exact。,可列下一批人工 review / approve 候選。
19,1110,汗斑,B36.0,變色糠疹(汗斑),Pityriasis versicolor,1,1,Batch A,single_mapping_high_confidence,單一 ICD-9→ICD-10，USE=1，中文語意 contains。,可列下一批人工 review / approve 候選。
20,7089,蕁麻疹,L50.9,蕁麻疹,"Urticaria, unspecified",1,1,Batch A,single_mapping_high_confidence,單一 ICD-9→ICD-10，USE=1，中文語意 exact。,可列下一批人工 review / approve 候選。
21,7854,壞疽,I96,壞疽，他處未歸類者,"Gangrene, not elsewhere classified",1,1,Batch A,single_mapping_high_confidence,單一 ICD-9→ICD-10，USE=1，中文語意 contains。,可列下一批人工 review / approve 候選。
22,71940,關節痛,M25.50,關節痛,Pain in unspecified joint,1,1,Batch A,single_mapping_high_confidence,單一 ICD-9→ICD-10，USE=1，中文語意 exact。,可列下一批人工 review / approve 候選。
30,71610,創傷後關節炎,M12.50,未明示部位創傷性關節病變,"Traumatic arthropathy, unspecified site",1,1,Batch A,single_mapping_high_confidence,單一 ICD-9→ICD-10，USE=1，中文語意 similar。,可列下一批人工 review / approve 候選。
32,7231,頸椎痛,M54.2,頸椎痛,Cervicalgia,1,1,Batch A,single_mapping_high_confidence,單一 ICD-9→ICD-10，USE=1，中文語意 exact。,可列下一批人工 review / approve 候選。
33,72479,尾椎痛,M53.3,薦尾椎骨疾患，他處未歸類者,"Sacrococcygeal disorders, not elsewhere classified",1,1,Batch A,single_mapping_high_confidence,單一 ICD-9→ICD-10，USE=1，中文語意 similar。,可列下一批人工 review / approve 候選。
