drug_item_id,generic_name,brand_name,aliases,table_type,item_kind,category,supplier,manufacturer,has_drug_diagnosis_links,audit_status,match_method,confidence,official_source,official_code_or_license,official_name_zh,official_name_en,official_ingredient,official_atc_code,reason,recommended_next_action
1,Bisoprolol,Concor 康肯,,oral,oral_drug,口服藥,台田,Merck默克,yes,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第022315號,脈好博錠５公絲,MONOCOR TABLETS 5MG,BISOPROLOL,,`Bisoprolol` exact matched official ingredient: `BISOPROLOL`,低優先；可後續補官方代碼欄位設計
2,Doxazosin,Dophilin 道福寧,,oral,oral_drug,口服藥,信東,信東,yes,likely_correct_but_missing_fields,ingredient_match,low,NHI payment,AC59902100,健列舒錠2毫克,Genlease Tablets 2mg,DOXAZOSIN (MESYLATE) 2 MG,C02CA04,`Doxazosin` contains/contained by official `DOXAZOSIN (MESYLATE) 2 MG`; candidates=30,人工抽查後納入官方欄位補強候選
3,Spironolactone,Aldactin 愛達信,,oral,oral_drug,口服藥,信東,信東,no,likely_correct,exact_normalized_match,high,NHI payment,AC22908100,"""十全""使排通錠（螺環固醇內酮）","SPIRONOLACTONE TABLETS ""S.C.""",SPIRONOLACTONE 25 MG,C03DA01,"`Spironolactone` exact matched official en: `SPIRONOLACTONE TABLETS ""S.C.""`",低優先；可後續補官方代碼欄位設計
4,Dextromethorphan20mg+Pot. Cres,Noncough(Medicon-A) 諾咳,,oral,oral_drug,口服藥,信東,信東,no,likely_correct,brand_match,high,NHI payment,A021758100,滅咳康複合膠囊,MEDICON-A CAPSULES,POTASSIUM CRESOLSULFONATE 90 MG+LYSOZYME CHLORIDE 20 MG+DEXTROMETHORPHAN HBR 20 MG,R05FA01,`Medicon-A` exact matched official en: `MEDICON-A CAPSULES`; risk=疑似 OCR/截斷字串,低優先；可後續補官方代碼欄位設計
5,GLIMEPIRIDE 2MG + METFORMIN 50,Temilg F.C.  甜蜜克,,oral,oral_drug,口服藥,信東,信東,yes,likely_correct_but_missing_fields,ingredient_match,low,NHI payment,A047172100,欣益糖錠 2.0 毫克,Amepiride Tablets 2.0MG,GLIMEPIRIDE 2 MG,A10BB12,`GLIMEPIRIDE 2MG + METFORMIN 50` contains/contained by official `GLIMEPIRIDE 2 MG`; candidates=30,人工抽查後納入官方欄位補強候選
6,Glimepiride,Glimaryl 騐理蔓,,oral,oral_drug,口服藥,信東,信東,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第022670號,瑪爾胰１．０錠,AMARYL 1.0 TABLETS,GLIMEPIRIDE,,`Glimepiride` exact matched official ingredient: `GLIMEPIRIDE`,低優先；可後續補官方代碼欄位設計
7,CARDITONIN S.C. TABLETS,CARDITONIN S.C. TABLETS 心康寧,,oral,oral_drug,口服藥,信東,信東,no,likely_correct_but_missing_fields,contains_match,low,NHI payment,A009744100,調循諾寧錠,"CARDITONIN TABLETS ""MEIDER""",PROPRANOLOL HCL 20 MG,C07AA05,"`CARDITONIN S.C. TABLETS` contains/contained by official `CARDITONIN TABLETS ""MEIDER""`; candidates=18",人工抽查後納入官方欄位補強候選
8,Alprazolam,Xanax/Alpraline 安柏寧,,oral,oral_drug,口服藥,信東,信東,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第021698號,贊安諾持續性藥效錠０．５毫克,XANAX XR EXTENDED-RELEASE TABLETS 0.5MG,ALPRAZOLAM,,`Alprazolam` exact matched official ingredient: `ALPRAZOLAM`,低優先；可後續補官方代碼欄位設計
9,K-Glu Oral Solution,Potassium Gluconate 鉀補口服液,,oral,oral_drug,口服藥,信東,信東,no,likely_correct,brand_match,high,TFDA license,內衛藥輸字第001432號,葡萄糖酸鉀,POTASSIUM GLUCONATE,POTASSIUM GLUCONATE,,`Potassium Gluconate` exact matched official en: `POTASSIUM GLUCONATE`,低優先；可後續補官方代碼欄位設計
10,Cephalaxin,Keflex 賜福力欣,,oral,oral_drug,口服藥,信東,信東,no,likely_correct,brand_match,high,TFDA license,衛署藥輸字第015885號,賜福力欣,"CEPHALEXIN MONOHYDRATE ""OPOS""",CEPHALEXIN MONOHYDRATE,,`賜福力欣` exact matched official zh: `賜福力欣`; risk=疑似 OCR/截斷字串,低優先；可後續補官方代碼欄位設計
11,IRBESARTAN,IRBEPROVEL(APROVEL) 伊必特(台廠),,oral,oral_drug,口服藥,信東,信東,yes,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第025965號,壓可穩錠300毫克,Converium 300mg Tablets,IRBESARTAN,,`IRBESARTAN` exact matched official ingredient: `IRBESARTAN`,低優先；可後續補官方代碼欄位設計
12,Febuxostat,Fekuton/Fburic 服克痛,,oral,oral_drug,口服藥,信東,信東,yes,likely_correct,exact_normalized_match,high,TFDA license,衛部藥陸輸字第001192號,苯丁氧噻唑酸,Febuxostat,,,`Febuxostat` exact matched official en: `Febuxostat`,低優先；可後續補官方代碼欄位設計
13,"DIMETHYL 1, 4- 7-ISOPROPYLASUL",Azulene 安如寧,,oral,oral_drug,口服藥,大道,世達,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第015277號,愛胃寧錠,AZUKURENIN TABLETS,AZULENE,,`Azulene` exact matched official ingredient: `AZULENE`; risk=疑似 OCR/截斷字串,低優先；可後續補官方代碼欄位設計
